,Date,Institution Name (RSSD ID),Location,Rank,Total Assets
279,12/31/2015,ASSOCIATED BANC-CORP (1199563),"GREEN BAY, WI",57,27715021
280,12/31/2015,"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL",58,26903571
281,12/31/2015,EVERBANK FINANCIAL CORP (3838857),"JACKSONVILLE, FL",59,26601026
282,12/31/2015,FIRST HORIZON NATIONAL CORPORATION (1094640),"MEMPHIS, TN",60,26196388
283,12/31/2015,"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY",61,25782912
284,12/31/2015,FIRSTMERIT CORPORATION (1070804),"AKRON, OH",62,25537212
285,12/31/2015,WEBSTER FINANCIAL CORPORATION (1145476),"WATERBURY, CT",63,24694548
286,12/31/2015,"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO",64,24625092
287,12/31/2015,"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL",65,23883467
288,12/31/2015,UMPQUA HOLDINGS CORPORATION (2747644),"PORTLAND, OR",66,23387248
289,12/31/2015,WINTRUST FINANCIAL CORPORATION (2260406),"ROSEMONT, IL",67,22926284
290,12/31/2015,HANCOCK HOLDING COMPANY (1086533),"GULFPORT, MS",68,22848776
291,12/31/2015,"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO",69,22556564
292,12/31/2015,"MACY'S, INC. (4103310)","CINCINNATI, OH",70,22085979
293,12/31/2015,"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX",71,22039116
294,12/31/2015,VALLEY NATIONAL BANCORP (1048773),"WAYNE, NJ",72,21612616
295,12/31/2015,PACWEST BANCORP (2875332),"LOS ANGELES, CA",73,21288975
296,12/31/2015,"INVESTORS BANCORP, INC. (2477754)","SHORT HILLS, NJ",74,20898693
297,12/31/2015,TCF FINANCIAL CORPORATION (2389941),"WAYZATA, MN",75,20703190
298,12/31/2015,IBERIABANK CORPORATION (2291914),"LAFAYETTE, LA",76,19504068
299,12/31/2015,UMB FINANCIAL CORPORATION (1049828),"KANSAS CITY, MO",77,19094245
300,12/31/2015,"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX",78,18909174
301,12/31/2015,"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE",79,18346653
302,12/31/2015,FULTON FINANCIAL CORPORATION (1117129),"LANCASTER, PA",80,17867010
303,12/31/2015,F.N.B. CORPORATION (3005332),"PITTSBURGH, PA",81,17557662
304,12/31/2015,"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL",82,17259421
305,12/31/2015,"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR",83,15864120
306,12/31/2015,"MB FINANCIAL, INC. (1090987)","CHICAGO, IL",84,15585007
307,12/31/2015,FIRSTBANK HOLDING COMPANY (1060627),"LAKEWOOD, CO",85,15553681
308,12/31/2015,BANK OF HAWAII CORPORATION (1025309),"HONOLULU, HI",86,15501362
309,12/31/2015,ASTORIA FINANCIAL CORPORATION (2504128),"LAKE SUCCESS, NY",87,15076211
310,12/31/2015,MODERN WOODMEN OF AMERICA (3057395),"ROCK ISLAND, IL",88,14754514
311,12/31/2015,"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA",89,14684899
312,12/31/2015,WESTERN ALLIANCE BANCORPORATION (2349815),"PHOENIX, AZ",90,14275089
313,12/31/2015,"BANCORPSOUTH, INC. (1097614)","TUPELO, MS",91,13802637
314,12/31/2015,"FLAGSTAR BANCORP, INC. (3852022)","TROY, MI",92,13714830
315,12/31/2015,STIFEL FINANCIAL CORP. (3063622),"SAINT LOUIS, MO",93,13335915
316,12/31/2015,CATHAY GENERAL BANCORP (1843080),"LOS ANGELES, CA",94,13254126
317,12/31/2015,"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY",95,12795071
318,12/31/2015,TRUSTMARK CORPORATION (1079562),"JACKSON, MS",96,12678896
319,12/31/2015,"UNITED BANKSHARES, INC. (1076217)","CHARLESTON, WV",97,12577944
320,12/31/2015,FIRST BANCORP (2744894),"SAN JUAN, PR",98,12573019
321,12/31/2015,"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH",99,12390594
322,12/31/2015,"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO",100,12041047
323,12/31/2015,OLD NATIONAL BANCORP (1098303),"EVANSVILLE, IN",101,11991556
324,12/31/2015,STERLING BANCORP (3083291),"MONTEBELLO, NY",102,11958682
325,12/31/2015,"HILLTOP HOLDINGS, INC (3838727)","DALLAS, TX",103,11867001
326,12/31/2015,"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI",104,11790196
327,12/31/2015,INTERNATIONAL BANCSHARES CORPORATION (1104231),"LAREDO, TX",105,11772869
328,12/31/2015,MIDLAND FINANCIAL CO. (2568278),"OKLAHOMA CITY, OK",106,11605700
329,12/31/2015,"NORDSTROM, INC. (1760589)","SEATTLE, WA",107,11419552
330,12/31/2015,BREMER FINANCIAL CORPORATION (1020180),"SAINT PAUL, MN",108,10723184
331,12/31/2015,COUNTRY LIFE INSURANCE COMPANY (3825204),"BLOOMINGTON, IL",109,10092985
332,9/30/2015,JPMORGAN CHASE & CO. (1039502),"NEW YORK, NY",1,2417121000
333,9/30/2015,BANK OF AMERICA CORPORATION (1073757),"CHARLOTTE, NC",2,2154342000
334,9/30/2015,CITIGROUP INC. (1951350),"NEW YORK, NY",3,1808356000
335,9/30/2015,WELLS FARGO & COMPANY (1120754),"SAN FRANCISCO, CA",4,1751265000
336,9/30/2015,"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY",5,880607000
337,9/30/2015,MORGAN STANLEY (2162966),"NEW YORK, NY",6,834113000
338,9/30/2015,GENERAL ELECTRIC CAPITAL CORPORATION (1631915),"NORWALK, CT",7,436641069
339,9/30/2015,U.S. BANCORP (1119794),"MINNEAPOLIS, MN",8,415943000
340,9/30/2015,"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY",9,377371000
341,9/30/2015,"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA",10,362137164
342,9/30/2015,CAPITAL ONE FINANCIAL CORPORATION (2277860),"MCLEAN, VA",11,313827584
343,9/30/2015,HSBC NORTH AMERICA HOLDINGS INC. (3232316),"NEW YORK, NY",12,291611246
344,9/30/2015,TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170),"NEW YORK, NY",13,268247053
345,9/30/2015,TD GROUP US HOLDINGS LLC (3606542),"WILMINGTON, DE",14,261164836
346,9/30/2015,STATE STREET CORPORATION (1111435),"BOSTON, MA",15,247273625
347,9/30/2015,BB&T CORPORATION (1074156),"WINSTON SALEM, NC",16,208808671
348,9/30/2015,"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA",17,187255650
349,9/30/2015,"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA",18,170402000
350,9/30/2015,ALLY FINANCIAL INC. (1562859),"DETROIT, MI",19,156105000
351,9/30/2015,AMERICAN EXPRESS COMPANY (1275216),"NEW YORK, NY",20,154205000
352,9/30/2015,FIFTH THIRD BANCORP (1070345),"CINCINNATI, OH",21,141917763
353,9/30/2015,UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376),"SAN ANTONIO, TX",22,135916817
354,9/30/2015,"CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI",23,135811131
355,9/30/2015,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207),"BLOOMINGTON, IL",24,135372076
356,9/30/2015,"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA",25,130930367
357,9/30/2015,BMO FINANCIAL CORP. (1245415),"WILMINGTON, DE",26,125419384
358,9/30/2015,REGIONS FINANCIAL CORPORATION (3242838),"BIRMINGHAM, AL",27,124891540
359,9/30/2015,NORTHERN TRUST CORPORATION (1199611),"CHICAGO, IL",28,119995234
360,9/30/2015,MUFG AMERICAS HOLDINGS CORPORATION (1378434),"NEW YORK, NY",29,115163500
361,9/30/2015,M&T BANK CORPORATION (1037003),"BUFFALO, NY",30,97797062
362,9/30/2015,KEYCORP (1068025),"CLEVELAND, OH",31,95476859
363,9/30/2015,BANCWEST CORPORATION (1025608),"HONOLULU, HI",32,92869993
364,9/30/2015,"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX",33,89360000
365,9/30/2015,DISCOVER FINANCIAL SERVICES (3846375),"RIVERWOODS, IL",34,85611791
366,9/30/2015,COMERICA INCORPORATED (1199844),"DALLAS, TX",35,71212885
367,9/30/2015,HUNTINGTON BANCSHARES INCORPORATED (1068191),"COLUMBUS, OH",36,70210178
368,9/30/2015,CIT GROUP INC. (1036967),"LIVINGSTON, NJ",37,68125502
369,9/30/2015,ZIONS BANCORPORATION (1027004),"SALT LAKE CITY, UT",38,58410927
370,9/30/2015,DEUTSCHE BANK TRUST CORPORATION (1032473),"NEW YORK, NY",39,57375000
371,9/30/2015,"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY",40,49045482
372,9/30/2015,SVB FINANCIAL GROUP (1031449),"SANTA CLARA, CA",41,41733585
373,9/30/2015,E*TRADE FINANCIAL CORPORATION (3412583),"NEW YORK, NY",42,41206541
374,9/30/2015,"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY",43,39418193
375,9/30/2015,"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT",44,37465985
376,9/30/2015,NATIONWIDE MUTUAL INSURANCE COMPANY (3828072),"COLUMBUS, OH",45,35636495
377,9/30/2015,MUTUAL OF OMAHA INSURANCE COMPANY (1583836),"OMAHA, NE",46,35579796
378,9/30/2015,CITY NATIONAL CORPORATION (1027518),"LOS ANGELES, CA",47,35575724
379,9/30/2015,"POPULAR, INC. (1129382)","SAN JUAN, PR",48,35528000
380,9/30/2015,"HUDSON CITY BANCORP, INC. (2367556)","PARAMUS, NJ",49,35121018
381,9/30/2015,JOHN DEERE CAPITAL CORPORATION (3843075),"RENO, NV",50,35063293
382,9/30/2015,"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC",51,31449824
383,9/30/2015,"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA",52,31119855
384,9/30/2015,BOK FINANCIAL CORPORATION (1883693),"TULSA, OK",53,30601382
385,9/30/2015,"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX",54,28403675
386,9/30/2015,SYNOVUS FINANCIAL CORP. (1078846),"COLUMBUS, GA",55,28167827
387,9/30/2015,ASSOCIATED BANC-CORP (1199563),"GREEN BAY, WI",56,27467243
388,9/30/2015,BARCLAYS DELAWARE HOLDINGS LLC (2938451),"WILMINGTON, DE",57,26620161
389,9/30/2015,"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL",58,26474162
390,9/30/2015,"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY",59,26163730
391,9/30/2015,FIRST HORIZON NATIONAL CORPORATION (1094640),"MEMPHIS, TN",60,25388586
392,9/30/2015,FIRSTMERIT CORPORATION (1070804),"AKRON, OH",61,25255384
393,9/30/2015,EVERBANK FINANCIAL CORP (3838857),"JACKSONVILLE, FL",62,25214743
394,9/30/2015,WEBSTER FINANCIAL CORPORATION (1145476),"WATERBURY, CT",63,24083042
395,9/30/2015,"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO",64,23989012
396,9/30/2015,UMPQUA HOLDINGS CORPORATION (2747644),"PORTLAND, OR",65,23173041
397,9/30/2015,"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL",66,22537671
398,9/30/2015,"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO",67,22259828
399,9/30/2015,WINTRUST FINANCIAL CORPORATION (2260406),"ROSEMONT, IL",68,22053870
400,9/30/2015,HANCOCK HOLDING COMPANY (1086533),"GULFPORT, MS",69,21615845
401,9/30/2015,"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX",70,21567944
402,9/30/2015,"INVESTORS BANCORP, INC. (2477754)","SHORT HILLS, NJ",71,20336160
403,9/30/2015,TCF FINANCIAL CORPORATION (2389941),"WAYZATA, MN",72,20141423
404,9/30/2015,"MACY'S, INC. (4103310)","CINCINNATI, OH",73,20115945
405,9/30/2015,VALLEY NATIONAL BANCORP (1048773),"WAYNE, NJ",74,19571532
406,9/30/2015,IBERIABANK CORPORATION (2291914),"LAFAYETTE, LA",75,19534225
407,9/30/2015,"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX",76,18666031
408,9/30/2015,UMB FINANCIAL CORPORATION (1049828),"KANSAS CITY, MO",77,18597965
409,9/30/2015,FULTON FINANCIAL CORPORATION (1117129),"LANCASTER, PA",78,17795149
410,9/30/2015,"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE",79,17721789
411,9/30/2015,"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL",80,16894605
412,9/30/2015,F.N.B. CORPORATION (3005332),"PITTSBURGH, PA",81,16836073
413,9/30/2015,PACWEST BANCORP (2875332),"LOS ANGELES, CA",82,16814792
414,9/30/2015,"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR",83,15602572
415,9/30/2015,BANK OF HAWAII CORPORATION (1025309),"HONOLULU, HI",84,15228349
416,9/30/2015,ASTORIA FINANCIAL CORPORATION (2504128),"LAKE SUCCESS, NY",85,15099204
417,9/30/2015,FIRSTBANK HOLDING COMPANY (1060627),"LAKEWOOD, CO",86,15097919
418,9/30/2015,"MB FINANCIAL, INC. (1090987)","CHICAGO, IL",87,14950100
419,9/30/2015,MODERN WOODMEN OF AMERICA (3057395),"ROCK ISLAND, IL",88,14635439
420,9/30/2015,"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA",89,14568324
421,9/30/2015,WESTERN ALLIANCE BANCORPORATION (2349815),"PHOENIX, AZ",90,13955570
422,9/30/2015,"BANCORPSOUTH, INC. (1097614)","TUPELO, MS",91,13786921
423,9/30/2015,FIRST BANCORP (2744894),"SAN JUAN, PR",92,12820989
424,9/30/2015,CATHAY GENERAL BANCORP (1843080),"LOS ANGELES, CA",93,12749966
425,9/30/2015,"UNITED BANKSHARES, INC. (1076217)","CHARLESTON, WV",94,12556929
426,9/30/2015,"FLAGSTAR BANCORP, INC. (3852022)","TROY, MI",95,12519193
427,9/30/2015,TRUSTMARK CORPORATION (1079562),"JACKSON, MS",96,12390276
428,9/30/2015,"HILLTOP HOLDINGS, INC (3838727)","DALLAS, TX",97,12389456
429,9/30/2015,"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY",98,12371566
430,9/30/2015,"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH",99,12368842
431,9/30/2015,INTERNATIONAL BANCSHARES CORPORATION (1104231),"LAREDO, TX",100,12052216
432,9/30/2015,OLD NATIONAL BANCORP (1098303),"EVANSVILLE, IN",101,11915290
433,9/30/2015,"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO",102,11770295
434,9/30/2015,MIDLAND FINANCIAL CO. (2568278),"OKLAHOMA CITY, OK",103,11717650
435,9/30/2015,STERLING BANCORP (3083291),"MONTEBELLO, NY",104,11606117
436,9/30/2015,"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI",105,11573466
437,9/30/2015,"NORDSTROM, INC. (1760589)","SEATTLE, WA",106,10955052
438,9/30/2015,COUNTRY LIFE INSURANCE COMPANY (3825204),"BLOOMINGTON, IL",107,10848819
439,9/30/2015,BREMER FINANCIAL CORPORATION (1020180),"SAINT PAUL, MN",108,10325850
440,6/30/2015,JPMORGAN CHASE & CO. (1039502),"NEW YORK, NY",1,2447994000
441,6/30/2015,BANK OF AMERICA CORPORATION (1073757),"CHARLOTTE, NC",2,2152082000
442,6/30/2015,CITIGROUP INC. (1951350),"NEW YORK, NY",3,1829370000
443,6/30/2015,WELLS FARGO & COMPANY (1120754),"SAN FRANCISCO, CA",4,1720617000
444,6/30/2015,"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY",5,859932000
445,6/30/2015,MORGAN STANLEY (2162966),"NEW YORK, NY",6,825755000
446,6/30/2015,GENERAL ELECTRIC CAPITAL CORPORATION (1631915),"NORWALK, CT",7,466871489
447,6/30/2015,U.S. BANCORP (1119794),"MINNEAPOLIS, MN",8,419075000
448,6/30/2015,"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY",9,395254000
449,6/30/2015,"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA",10,354201925
450,6/30/2015,CAPITAL ONE FINANCIAL CORPORATION (2277860),"MCLEAN, VA",11,310636497
451,6/30/2015,STATE STREET CORPORATION (1111435),"BOSTON, MA",12,294570652
452,6/30/2015,HSBC NORTH AMERICA HOLDINGS INC. (3232316),"NEW YORK, NY",13,277249331
453,6/30/2015,TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170),"NEW YORK, NY",14,266931428
454,6/30/2015,TD BANK US HOLDING COMPANY (1249196),"CHERRY HILL, NJ",15,253195880
455,6/30/2015,BB&T CORPORATION (1074156),"WINSTON SALEM, NC",16,191017482
456,6/30/2015,"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA",17,189107850
457,6/30/2015,"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA",18,163627000
458,6/30/2015,AMERICAN EXPRESS COMPANY (1275216),"NEW YORK, NY",19,157141000
459,6/30/2015,ALLY FINANCIAL INC. (1562859),"DETROIT, MI",20,156472000
460,6/30/2015,FIFTH THIRD BANCORP (1070345),"CINCINNATI, OH",21,141658130
461,6/30/2015,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207),"BLOOMINGTON, IL",22,139365889
462,6/30/2015,"CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI",23,137564322
463,6/30/2015,UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376),"SAN ANTONIO, TX",24,134222822
464,6/30/2015,"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA",25,126316164
465,6/30/2015,REGIONS FINANCIAL CORPORATION (3242838),"BIRMINGHAM, AL",26,121967042
466,6/30/2015,NORTHERN TRUST CORPORATION (1199611),"CHICAGO, IL",27,119942945
467,6/30/2015,BMO FINANCIAL CORP. (1245415),"WILMINGTON, DE",28,118131486
468,6/30/2015,MUFG AMERICAS HOLDINGS CORPORATION (1378434),"NEW YORK, NY",29,114265672
469,6/30/2015,M&T BANK CORPORATION (1037003),"BUFFALO, NY",30,97080076
470,6/30/2015,KEYCORP (1068025),"CLEVELAND, OH",31,94674550
471,6/30/2015,BANCWEST CORPORATION (1025608),"HONOLULU, HI",32,91200312
472,6/30/2015,"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX",33,88470749
473,6/30/2015,DISCOVER FINANCIAL SERVICES (3846375),"RIVERWOODS, IL",34,84911199
474,6/30/2015,COMERICA INCORPORATED (1199844),"DALLAS, TX",35,70053205
475,6/30/2015,HUNTINGTON BANCSHARES INCORPORATED (1068191),"COLUMBUS, OH",36,68845648
476,6/30/2015,ZIONS BANCORPORATION (1027004),"SALT LAKE CITY, UT",37,58365459
477,6/30/2015,DEUTSCHE BANK TRUST CORPORATION (1032473),"NEW YORK, NY",38,58202000
478,6/30/2015,"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY",39,48648532
479,6/30/2015,E*TRADE FINANCIAL CORPORATION (3412583),"NEW YORK, NY",40,47117894
480,6/30/2015,CIT GROUP INC. (1036967),"LIVINGSTON, NJ",41,46657160
481,6/30/2015,SVB FINANCIAL GROUP (1031449),"SANTA CLARA, CA",42,40244261
482,6/30/2015,"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY",43,39069002
483,6/30/2015,"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT",44,37154644
484,6/30/2015,"POPULAR, INC. (1129382)","SAN JUAN, PR",45,36750000
485,6/30/2015,NATIONWIDE MUTUAL INSURANCE COMPANY (3828072),"COLUMBUS, OH",46,35438759
486,6/30/2015,"HUDSON CITY BANCORP, INC. (2367556)","PARAMUS, NJ",47,35417458
487,6/30/2015,JOHN DEERE CAPITAL CORPORATION (3843075),"RENO, NV",48,35216517
488,6/30/2015,MUTUAL OF OMAHA INSURANCE COMPANY (1583836),"OMAHA, NE",49,35183677
489,6/30/2015,CITY NATIONAL CORPORATION (1027518),"LOS ANGELES, CA",50,33760498
490,6/30/2015,"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC",51,30896855
491,6/30/2015,BOK FINANCIAL CORPORATION (1883693),"TULSA, OK",52,30846158
492,6/30/2015,"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA",53,30064322
493,6/30/2015,SYNOVUS FINANCIAL CORP. (1078846),"COLUMBUS, GA",54,28205870
494,6/30/2015,"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX",55,27802644
495,6/30/2015,ASSOCIATED BANC-CORP (1199563),"GREEN BAY, WI",56,27185145
496,6/30/2015,BARCLAYS DELAWARE HOLDINGS LLC (2938451),"WILMINGTON, DE",57,26353405
497,6/30/2015,"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY",58,25928156
498,6/30/2015,FIRSTMERIT CORPORATION (1070804),"AKRON, OH",59,25301876
499,6/30/2015,FIRST HORIZON NATIONAL CORPORATION (1094640),"MEMPHIS, TN",60,25241144
500,6/30/2015,"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL",61,24805596
501,6/30/2015,EVERBANK FINANCIAL CORP (3838857),"JACKSONVILLE, FL",62,24120491
502,6/30/2015,"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO",63,23721613
503,6/30/2015,WEBSTER FINANCIAL CORPORATION (1145476),"WATERBURY, CT",64,23644664
504,6/30/2015,UMPQUA HOLDINGS CORPORATION (2747644),"PORTLAND, OR",65,22805994
505,6/30/2015,"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO",66,22597143
506,6/30/2015,IMB HOLDCO LLC (3923614),"PASADENA, CA",67,21707102
507,6/30/2015,"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX",68,21687419
508,6/30/2015,HANCOCK HOLDING COMPANY (1086533),"GULFPORT, MS",69,21550936
509,6/30/2015,"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL",70,21401793
510,6/30/2015,"MACY'S, INC. (4103310)","CINCINNATI, OH",71,21175196
511,6/30/2015,WINTRUST FINANCIAL CORPORATION (2260406),"ROSEMONT, IL",72,20816905
512,6/30/2015,"INVESTORS BANCORP, INC. (2477754)","SHORT HILLS, NJ",73,19954834
513,6/30/2015,TCF FINANCIAL CORPORATION (2389941),"WAYZATA, MN",74,19851826
514,6/30/2015,VALLEY NATIONAL BANCORP (1048773),"WAYNE, NJ",75,19290005
515,6/30/2015,IBERIABANK CORPORATION (2291914),"LAFAYETTE, LA",76,19238928
516,6/30/2015,"SUSQUEHANNA BANCSHARES, INC. (1117156)","LITITZ, PA",77,18659693
517,6/30/2015,UMB FINANCIAL CORPORATION (1049828),"KANSAS CITY, MO",78,18418727
518,6/30/2015,"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX",79,17817384
519,6/30/2015,"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE",80,17624149
520,6/30/2015,FULTON FINANCIAL CORPORATION (1117129),"LANCASTER, PA",81,17322400
521,6/30/2015,PACWEST BANCORP (2875332),"LOS ANGELES, CA",82,16699159
522,6/30/2015,F.N.B. CORPORATION (3005332),"PITTSBURGH, PA",83,16598601
523,6/30/2015,"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL",84,16225895
524,6/30/2015,"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR",85,15429891
525,6/30/2015,BANK OF HAWAII CORPORATION (1025309),"HONOLULU, HI",86,15336181
526,6/30/2015,ASTORIA FINANCIAL CORPORATION (2504128),"LAKE SUCCESS, NY",87,15295356
527,6/30/2015,FIRSTBANK HOLDING COMPANY (1060627),"LAKEWOOD, CO",88,15172163
528,6/30/2015,"MB FINANCIAL, INC. (1090987)","CHICAGO, IL",89,15018194
529,6/30/2015,MODERN WOODMEN OF AMERICA (3057395),"ROCK ISLAND, IL",90,14581780
530,6/30/2015,"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA",91,14370496
531,6/30/2015,"BANCORPSOUTH, INC. (1097614)","TUPELO, MS",92,13636675
532,6/30/2015,WESTERN ALLIANCE BANCORPORATION (2349815),"PHOENIX, AZ",93,13470104
533,6/30/2015,FIRST BANCORP (2744894),"SAN JUAN, PR",94,12578813
534,6/30/2015,"HILLTOP HOLDINGS, INC (3838727)","DALLAS, TX",95,12477198
535,6/30/2015,"UNITED BANKSHARES, INC. (1076217)","CHARLESTON, WV",96,12414566
536,6/30/2015,"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH",97,12259463
537,6/30/2015,TRUSTMARK CORPORATION (1079562),"JACKSON, MS",98,12182448
538,6/30/2015,"FLAGSTAR BANCORP, INC. (3852022)","TROY, MI",99,12139403
539,6/30/2015,OLD NATIONAL BANCORP (1098303),"EVANSVILLE, IN",100,12075892
540,6/30/2015,INTERNATIONAL BANCSHARES CORPORATION (1104231),"LAREDO, TX",101,12074129
541,6/30/2015,CATHAY GENERAL BANCORP (1843080),"LOS ANGELES, CA",102,11918316
542,6/30/2015,"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY",103,11775081
543,6/30/2015,MIDLAND FINANCIAL CO. (2568278),"OKLAHOMA CITY, OK",104,11682787
544,6/30/2015,"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO",105,11674358
545,6/30/2015,STERLING BANCORP (3083291),"MONTEBELLO, NY",106,11568014
546,6/30/2015,"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI",107,11439631
547,6/30/2015,"NORDSTROM, INC. (1760589)","SEATTLE, WA",108,11051860
548,6/30/2015,COUNTRY LIFE INSURANCE COMPANY (3825204),"BLOOMINGTON, IL",109,10887809
549,6/30/2015,NATIONAL AMERICAS HOLDINGS LLC (3719965),"NEW YORK, NY",110,10220212
550,6/30/2015,STIFEL FINANCIAL CORP. (3063622),"SAINT LOUIS, MO",111,10139542
551,6/30/2015,BREMER FINANCIAL CORPORATION (1020180),"SAINT PAUL, MN",112,10063759
552,3/31/2015,JPMORGAN CHASE & CO. (1039502),"NEW YORK, NY",1,2577148000
553,3/31/2015,BANK OF AMERICA CORPORATION (1073757),"CHARLOTTE, NC",2,2145027000
554,3/31/2015,CITIGROUP INC. (1951350),"NEW YORK, NY",3,1831801000
555,3/31/2015,WELLS FARGO & COMPANY (1120754),"SAN FRANCISCO, CA",4,1737737000
556,3/31/2015,"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY",5,865512000
557,3/31/2015,MORGAN STANLEY (2162966),"NEW YORK, NY",6,829099000
558,3/31/2015,GENERAL ELECTRIC CAPITAL CORPORATION (1631915),"NORWALK, CT",7,481614979
